Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration"
49.245,0.00,70.53,2.51,4.12
49.380,0.01,70.53,2.51,4.12
49.515,0.01,0.00,2.51,4.12
49.666,0.01,0.00,-5.02,4.12
49.815,0.01,0.00,-5.02,-1.95
49.950,0.01,0.00,-5.02,-1.95
50.100,0.01,58.61,-5.02,-1.95
50.234,0.01,58.61,-8.19,-1.95
50.369,0.01,58.61,-8.19,1.30
50.505,0.00,58.61,-8.19,1.30
50.640,0.00,86.09,-8.19,1.30
50.775,0.00,86.09,-7.48,1.30
50.910,0.00,86.09,-7.48,4.99
51.060,0.00,86.09,-7.48,4.99
51.195,0.00,92.88,-7.48,4.99
51.330,0.00,92.88,-0.15,4.99
51.465,0.00,92.88,-0.15,4.34
51.615,0.01,92.88,-0.15,4.34
51.750,0.01,0.00,-0.15,4.34
51.900,0.01,0.00,4.59,4.34
52.034,0.01,0.00,4.59,-3.47
52.185,0.02,0.00,4.59,-3.47
52.334,0.02,67.55,4.59,-3.47
52.469,0.02,67.55,8.60,-3.47
52.605,0.02,67.55,8.60,2.39
52.740,0.00,67.55,8.60,2.39
52.890,0.00,71.36,8.60,2.39
53.025,0.00,71.36,8.82,2.39
53.175,0.00,71.36,8.82,2.39
53.310,0.00,71.36,8.82,2.39
53.460,0.00,85.93,8.82,2.39
53.595,0.00,85.93,5.79,2.39
53.730,0.00,85.93,5.79,3.47
53.865,0.00,85.93,5.79,3.47
54.000,0.00,11.09,5.79,3.47
54.135,0.00,11.09,-7.19,3.47
54.300,0.00,11.09,-7.19,-3.04
54.435,0.02,11.09,-7.19,-3.04
54.585,0.02,0.00,-7.19,-3.04
54.735,0.02,0.00,-8.69,-3.04
54.870,0.02,0.00,-8.69,-1.08
55.005,0.00,0.00,-8.69,-1.08
55.140,0.00,72.19,-8.69,-1.08
55.275,0.00,72.19,-9.41,-1.08
55.425,0.00,72.19,-9.41,1.52
55.575,0.00,72.19,-9.41,1.52
55.710,0.00,0.00,-9.41,1.52
